OUT_EXP_DE
EM INVESTIGACAO               
ASGROTOXICOS                  
TINTA                         
POEIRA DE TECIDO              
"GASOLINA ,ALCOOL,DISEL        "
"AGROTOXICO:HERBICIDA,FUNGICIDA"
AGROTOXICO                    
AGROTOXICOS E INSETICIDAS     
AGRALATICOS                   
AGROTOXICOS                   
ALGODAO E FUMACA              
"FUMACA DE PLASTICO DERRETIDO, "
"NEVOA DE TINTA,SOLVENTE,PRIMER"
"FORMALDEIDO,OXIDO DE ETILENO  "
POEIRA DE CONSTRUCAO          
PO DE CONSTRUCAO              
AGROTOXICOS                   
DEFENSIVO AGRICOLA            
"SOLVENTE,TINTA                "
AGROTOXICOS                   
"AGROTOXICOS: FOLIDOL,ROUNDUP  "
RADIACAO SOLAR                
"POEIRA DE CIMENTO,CAL,ETC     "
"AGROTOXICO,FUMACA DE CARVAO   "
VAPORES DE COMBUSTIVEIS       
CLORETO DE VINILA DE VEICULOS 
AGROTOXICO E DDT              
TRABALHO NOTURNO              
AGROTOXICOS                   
"PRODUTOS QUIMICOS,AGROTOXICOS "
TINTA                         
MERCURIO                      
AMONIA                        
FORMALDEIDO                   
"SOLVENTES,TINTURAS            "
"AGROTOXICOS ,TORDO 24D,HERBI  "
POEIRA DE MADEIRA             
"PO DE MINERIO,GASES,POEIRA    "
"AGROTOXICOS,HERBICIDAS,INSETIC"
SOLVENTES PO DE MADEIRA       
AGROTOXICOS TORDON RANDAPE    
"AGORTOXICOS,ALDRIN            "
FORMALDEIDO CETONA            
PO DE MADEIRA                 
POEIRA DE GIZ                 
TRABALHO NOTURNO              
PO DE MADEIRA E TELHA AMIANTO 
"COMBUSTIVEIS,ETANOL,BEZENO,   "
AGROTOXICO                    
FUMO POEIRAS DE METAIS+TINTAS 
EXPOSICAO SOLAR               
AGROTOXICOS                   
PINTOR A REVOLVER             
AGROTOXICOS CONCOMITANTE      
"AGROTOXICOS,INSETICIDA,FUNGICI"
AGROTOXICOS                   
EXPOSICAO A AGROTOXICO (RURAL)
AGROTOXICOS                   
AGROTOXICOS                   
TRABALHO NOTURNO + AGROTOXICOS
AGROTOXICOS                   
AGROTOXICOS                   
POEIRA DA CONSTRUCAO CIVIL    
TRABALHO NOTURNO              
FORMALDEIDOS E PRODUTOS       
POEIRA DE CIMENTO/MADEIRA/CAL 
"SOLVENTES,POEIRA              "
TINTA E POEIRA DA CONSTRUCAO  
"POEIRA DE CIMENTO,LAJOTA,     "
AGRODEFENSIVOS                
AGROTOXICO RURAL              
FEONALTINTURAS                
"MATERIAS METALICOS: COBRE,FER "
AGRODEFENSIVOS                
LUZ SOLAR                     
RAIO ULTRAVIOLETA             
RAIOS ULTRAVIOLETA            
RAIOS ULTRAVIOLETAS           
HERBICIDA EXPOSICAO RAIOS SOLA
AGROTOXICOS /PLASTICOS        
"AGROTOXICOS RANDAPE TORDON ,M "
AGROTOXICOS                   
AGROTOXICOS                   
AGROTOXICO                    
"AGROTOXICOS,FUMO              "
AGROTOXICOS DA CAFEICULTURA   
CALOR DA CHURRASQUEIRA        
EXPOSICAO AO SOL              
EXPOSICAO AO SOL              
POEIRA DE COURO               
"TETRACLOROETILENO,POEIRA METAI"
AGROTOXICOS                   
SOL/INSUMOS AGRICOLAS         
EXPOSICAO SOLAR               
FUMOS METALICOS               
RESIDUOS DE QUEIMA DE DIESEL  
TRABALHO NOTURNO              
HERBICIDA/VAPORES DE COMBUSTIV
SOLVENTE ORGANICO             
HERBICIDA/VAPORES DE COMBUSTIV
